City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
177,Mersing,MY,2022-04-04 18:35:50,2.4312,103.8405,76.91,94,38,4.61
178,Madimba,TZ,2022-04-04 18:35:51,-10.4,40.3333,78.53,85,1,2.46
179,Ayorou,NE,2022-04-04 18:35:51,14.7308,0.9174,94.69,7,100,8.5
180,Sao Filipe,CV,2022-04-04 18:33:43,14.8961,-24.4956,71.33,76,0,10.02
181,Yerbogachen,RU,2022-04-04 18:33:47,61.2767,108.0108,-5.67,100,90,3.0
182,Pundaguitan,PH,2022-04-04 18:35:52,6.3711,126.1689,81.79,79,100,10.67
183,Hovd,MN,2022-04-04 18:36:52,48.0056,91.6419,43.74,35,100,4.88
184,Yar-Sale,RU,2022-04-04 18:36:53,66.8333,70.8333,28.65,98,100,8.41
185,Kunfeherto,HU,2022-04-04 18:36:53,46.3609,19.4145,38.26,61,2,7.92
186,Georgetown,MY,2022-04-04 18:36:54,5.4112,100.3354,78.73,93,40,5.99
187,Nauta,PE,2022-04-04 18:36:54,-4.5061,-73.5757,92.23,44,64,1.88
188,Rundu,NA,2022-04-04 18:36:54,-17.9333,19.7667,69.46,82,98,4.47
189,Dongsheng,CN,2022-04-04 18:36:55,39.8161,109.9776,44.92,24,1,11.32
190,Upernavik,GL,2022-04-04 18:33:58,72.7868,-56.1549,28.6,76,100,4.16
191,Guerrero Negro,MX,2022-04-04 18:34:27,27.9769,-114.0611,65.89,56,2,16.58
192,Dhidhdhoo,MV,2022-04-04 18:36:55,6.8833,73.1,82.98,71,94,1.7
193,Cabo San Lucas,MX,2022-04-04 18:32:38,22.8909,-109.9124,77.61,58,0,12.66
194,Praia,CV,2022-04-04 18:36:56,14.9215,-23.5087,77.54,50,20,18.41
195,Ostrovnoy,RU,2022-04-04 18:36:56,68.0531,39.5131,17.82,91,97,9.31
196,Bredasdorp,ZA,2022-04-04 18:34:26,-34.5322,20.0403,63.79,73,7,13.53
197,Copperas Cove,US,2022-04-04 18:36:57,31.1241,-97.9031,72.72,84,100,11.5
198,Hithadhoo,MV,2022-04-04 18:34:25,-0.6,73.0833,83.41,68,49,3.76
199,Sakakah,SA,2022-04-04 18:36:57,29.9697,40.2064,81.97,13,4,10.45
200,Kota Bahru,MY,2022-04-04 18:36:57,6.1333,102.2386,75.15,94,40,5.99
201,Zdanice,CZ,2022-04-04 18:36:58,49.0673,17.0275,42.89,67,92,7.94
202,Jalu,LY,2022-04-04 18:36:58,29.0331,21.5482,86.97,7,0,7.78
203,Arica,CL,2022-04-04 18:34:04,-18.475,-70.3042,80.15,66,17,8.68
204,Logon,PH,2022-04-04 18:36:59,11.3303,124.1146,80.15,85,100,11.45
205,Christchurch,NZ,2022-04-04 18:36:48,-43.5333,172.6333,55.94,90,100,2.3
206,Amboasary,MG,2022-04-04 18:36:59,-25.0333,46.3833,73.27,88,0,7.07
207,Viesca,MX,2022-04-04 18:36:59,25.35,-102.8,88.99,9,3,5.86
208,Saint-Philippe,RE,2022-04-04 18:33:49,-21.3585,55.7679,76.59,86,100,13.71
209,Rafraf,TN,2022-04-04 18:37:00,37.1904,10.1837,57.51,75,93,17.96
210,Oxelosund,SE,2022-04-04 18:37:00,58.6706,17.1015,34.18,100,75,3.44
211,Oranjemund,NA,2022-04-04 18:35:19,-28.55,16.4333,60.37,89,0,1.23
212,Arraial Do Cabo,BR,2022-04-04 18:37:01,-22.9661,-42.0278,85.96,74,0,14.97
213,Kabanjahe,ID,2022-04-04 18:37:01,3.1001,98.4908,63.73,98,100,3.69
214,Provideniya,RU,2022-04-04 18:37:02,64.3833,-173.3,-0.78,78,1,10.71
215,San Patricio,US,2022-04-04 18:37:02,28.017,-97.5169,86.18,53,96,18.48
216,Jaciara,BR,2022-04-04 18:37:02,-15.9653,-54.9683,81.91,70,96,1.66
217,Zaterechnyy,RU,2022-04-04 18:37:03,44.7931,45.2097,46.31,85,49,7.94
218,Srednekolymsk,RU,2022-04-04 18:37:03,67.45,153.6833,-16.44,100,100,2.86
219,Saint-Pierre,RE,2022-04-04 18:37:04,-21.3393,55.4781,76.68,88,100,5.75
220,Ilulissat,GL,2022-04-04 18:37:04,69.2167,-51.1,42.82,36,40,10.36
221,Mount Isa,AU,2022-04-04 18:36:30,-20.7333,139.5,73.17,17,0,9.22
222,Matara,LK,2022-04-04 18:35:39,5.9485,80.5353,77.07,86,78,0.76
223,Ahipara,NZ,2022-04-04 18:37:05,-35.1667,173.1667,63.45,92,84,5.79
224,West Helena,US,2022-04-04 18:37:05,34.5507,-90.6418,76.68,59,98,8.3
225,Chalus,IR,2022-04-04 18:37:06,36.655,51.4204,56.66,82,75,9.22
226,Kahului,US,2022-04-04 18:38:06,20.8947,-156.47,76.84,66,20,11.99
227,Matamoros,MX,2022-04-04 18:38:06,25.5333,-103.25,86.11,13,40,6.91
228,Honningsvag,NO,2022-04-04 18:38:07,70.9821,25.9704,26.35,59,20,9.22
229,Broken Hill,AU,2022-04-04 18:38:07,-31.95,141.4333,56.91,58,0,1.14
230,Severo-Yeniseyskiy,RU,2022-04-04 18:38:08,60.3725,93.0408,21.54,82,100,5.93
231,Wanning,CN,2022-04-04 18:38:08,18.8003,110.3967,67.1,86,81,7.14
232,Grindavik,IS,2022-04-04 18:38:08,63.8424,-22.4338,37.35,100,100,14.97
233,Vadlapudi,IN,2022-04-04 18:38:09,14.3167,79.8,78.26,87,11,9.84
234,Preobrazheniye,RU,2022-04-04 18:38:09,42.9019,133.9064,37.96,85,3,5.23
235,Rincon,US,2022-04-04 18:35:12,32.296,-81.2354,79.86,36,75,13.8
236,Nakasongola,UG,2022-04-04 18:38:10,1.3089,32.4564,74.26,60,100,4.72
237,Olinda,BR,2022-04-04 18:38:10,-8.0089,-34.8553,85.73,62,40,9.22
238,Kaili,ID,2022-04-04 18:38:10,-3.4626,120.2147,66.72,97,100,1.63
239,Naifaru,MV,2022-04-04 18:38:11,5.4444,73.3657,83.46,68,80,2.24
240,Umm Lajj,SA,2022-04-04 18:38:11,25.0213,37.2685,80.06,50,100,5.64
241,Wewak,PG,2022-04-04 18:34:30,-3.5534,143.6268,76.68,94,100,8.5
242,Lompoc,US,2022-04-04 18:34:48,34.6391,-120.4579,73.13,49,0,13.8
243,Klaksvik,FO,2022-04-04 18:38:12,62.2266,-6.589,34.72,64,100,17.81
244,Puerto Del Rosario,ES,2022-04-04 18:38:12,28.5004,-13.8627,65.95,59,40,16.11
245,Korcula,HR,2022-04-04 18:38:12,42.9622,17.1369,52.14,59,52,2.93
246,Roura,GF,2022-04-04 18:38:13,4.7263,-52.3274,81.97,83,75,12.66
247,Svetlogorsk,BY,2022-04-04 18:38:13,52.6333,29.7333,33.01,71,98,8.9
248,Quatre Cocos,MU,2022-04-04 18:38:14,-20.2078,57.7625,79.09,82,100,11.68
249,Imatra,FI,2022-04-04 18:38:14,61.1719,28.7524,32.38,87,100,1.01
250,Paredon,MX,2022-04-04 18:38:15,16.0333,-93.8667,87.24,56,0,11.18
251,General Roca,AR,2022-04-04 18:38:15,-39.0333,-67.5833,76.62,15,5,11.72
252,Nioro,GM,2022-04-04 18:38:16,13.35,-15.75,92.98,18,0,7.2
253,Coahuayana,MX,2022-04-04 18:34:37,18.7333,-103.6833,86.09,42,53,7.7
254,Ous,RU,2022-04-04 18:38:16,60.9058,61.5186,29.03,94,97,3.67
255,Buritis,BR,2022-04-04 18:38:16,-15.6178,-46.4233,90.75,26,0,6.89
256,Beyneu,KZ,2022-04-04 18:38:17,45.3167,55.2,54.7,55,14,22.53
257,Jaguaribe,BR,2022-04-04 18:38:17,-5.8906,-38.6219,85.87,64,90,5.17
258,Northfield,US,2022-04-04 18:38:18,44.4583,-93.1616,42.22,75,100,8.05
259,Puri,IN,2022-04-04 18:38:18,19.8,85.85,81.12,86,18,17.25
260,Kijang,KR,2022-04-04 18:38:18,35.2442,129.2139,44.33,58,84,4.92
261,Gambela,ET,2022-04-04 18:38:19,8.25,34.5833,79.09,64,63,1.66
262,Yenagoa,NG,2022-04-04 18:38:19,4.9247,6.2642,80.1,83,79,5.12
263,Bad Soden-Salmunster,DE,2022-04-04 18:38:19,50.2757,9.3671,42.58,98,100,17.0
264,Ribeira Grande,PT,2022-04-04 18:38:20,38.5167,-28.7,63.0,72,40,4.61
265,Yulara,AU,2022-04-04 18:35:27,-25.2406,130.9889,62.44,27,0,4.61
